layer,model,lfe_1d_10,lfe_1d_25,lfe_1d_50,lfe_2d_10,lfe_2d_25,lfe_2d_50
encoder.0.bias,N=3,0.701750,0.745280,0.807741,N/A,N/A,N/A
encoder.0.bias,N=5,0.700001,0.740700,0.800515,N/A,N/A,N/A
encoder.0.bias,N=10,0.702484,0.745928,0.808051,N/A,N/A,N/A
encoder.0.bias,N=16,0.677781,0.725792,0.789136,N/A,N/A,N/A
encoder.0.bias,N=24,0.423283,0.556354,0.666972,N/A,N/A,N/A
encoder.0.bias,N=30,0.134395,0.318589,0.475613,N/A,N/A,N/A
encoder.0.bias,N=36,0.071381,0.288578,0.451245,N/A,N/A,N/A
encoder,N=3,0.117466,0.255426,0.481084,0.081872,0.241931,0.542297
encoder,N=5,0.111089,0.248078,0.477589,0.078749,0.236943,0.536778
encoder,N=10,0.106605,0.241906,0.469875,0.076681,0.231681,0.526882
encoder,N=16,0.122205,0.264371,0.479782,0.074738,0.234911,0.518161
encoder,N=24,0.126582,0.260425,0.459541,0.077961,0.239084,0.526937
encoder,N=30,0.123322,0.253998,0.472739,0.075091,0.240090,0.532423
encoder,N=36,0.120272,0.256687,0.474757,0.076309,0.235344,0.526633
entity_encoder.0.bias,N=3,0.148249,0.253015,0.518000,N/A,N/A,N/A
entity_encoder.0.bias,N=5,0.146909,0.268508,0.542326,N/A,N/A,N/A
entity_encoder.0.bias,N=10,0.102177,0.236077,0.510009,N/A,N/A,N/A
entity_encoder.0.bias,N=16,0.087940,0.226856,0.518988,N/A,N/A,N/A
entity_encoder.0.bias,N=24,0.063443,0.203293,0.505348,N/A,N/A,N/A
entity_encoder.0.bias,N=30,0.105567,0.218025,0.521186,N/A,N/A,N/A
entity_encoder.0.bias,N=36,0.178889,0.296648,0.566847,N/A,N/A,N/A
entity_encoder,N=3,0.049714,0.279185,0.497672,0.066552,0.239471,0.568504
entity_encoder,N=5,0.053953,0.290735,0.509447,0.071276,0.245645,0.569954
entity_encoder,N=10,0.060086,0.295844,0.515154,0.075246,0.261833,0.572780
entity_encoder,N=16,0.066295,0.303616,0.523935,0.076580,0.265043,0.575692
entity_encoder,N=24,0.063845,0.295758,0.522446,0.068229,0.262005,0.577026
entity_encoder,N=30,0.065689,0.286288,0.507446,0.066810,0.258961,0.573989
entity_encoder,N=36,0.073376,0.289316,0.510567,0.066626,0.266657,0.583671
messages.W_key,N=3,0.097083,0.243962,0.501582,0.018316,0.097062,0.396501
messages.W_key,N=5,0.094574,0.241773,0.500386,0.018904,0.097487,0.398732
messages.W_key,N=10,0.090970,0.239305,0.503049,0.017896,0.096460,0.395029
messages.W_key,N=16,0.091441,0.241710,0.504219,0.017780,0.095036,0.398041
messages.W_key,N=24,0.089776,0.238988,0.501059,0.015517,0.091579,0.396679
messages.W_key,N=30,0.093215,0.240709,0.503338,0.014859,0.090893,0.388960
messages.W_key,N=36,0.092507,0.240286,0.503497,0.014734,0.093122,0.381708
messages.W_out,N=3,0.098787,0.247190,0.503412,0.014470,0.094543,0.384084
messages.W_out,N=5,0.099738,0.247444,0.504276,0.014755,0.094922,0.384375
messages.W_out,N=10,0.098964,0.246069,0.501721,0.014967,0.094053,0.384997
messages.W_out,N=16,0.096797,0.241197,0.498309,0.014524,0.092467,0.380085
messages.W_out,N=24,0.091364,0.244181,0.497269,0.014778,0.092757,0.382605
messages.W_out,N=30,0.098095,0.248554,0.496453,0.016521,0.094413,0.382653
messages.W_out,N=36,0.095476,0.241853,0.494706,0.014887,0.089432,0.380100
messages.W_query,N=3,0.099870,0.247479,0.515477,0.018987,0.098746,0.405558
messages.W_query,N=5,0.099380,0.247264,0.516764,0.018576,0.098940,0.408445
messages.W_query,N=10,0.093526,0.242387,0.515425,0.017913,0.097164,0.405997
messages.W_query,N=16,0.093775,0.241065,0.516337,0.017786,0.096975,0.400088
messages.W_query,N=24,0.093688,0.238047,0.512179,0.014836,0.085578,0.385402
messages.W_query,N=30,0.094673,0.241525,0.514433,0.014697,0.088207,0.387656
messages.W_query,N=36,0.094840,0.245530,0.513897,0.014161,0.089635,0.390239
messages.W_val,N=3,0.102005,0.249768,0.497458,0.014271,0.096426,0.383560
messages.W_val,N=5,0.102599,0.251232,0.497770,0.014413,0.096372,0.381242
messages.W_val,N=10,0.100964,0.250337,0.497158,0.013518,0.093313,0.381269
messages.W_val,N=16,0.102619,0.247887,0.495190,0.013997,0.092326,0.381054
messages.W_val,N=24,0.116400,0.251413,0.498008,0.015615,0.096730,0.381574
messages.W_val,N=30,0.126319,0.255819,0.503061,0.017145,0.098476,0.383348
messages.W_val,N=36,0.130371,0.260064,0.499172,0.017835,0.097344,0.379792
entity_messages.W_key,N=3,0.099214,0.234552,0.453617,0.035794,0.118193,0.411620
entity_messages.W_key,N=5,0.096217,0.230967,0.448551,0.031933,0.111715,0.402754
entity_messages.W_key,N=10,0.094839,0.224835,0.443526,0.022552,0.095536,0.378451
entity_messages.W_key,N=16,0.095053,0.224319,0.443380,0.019131,0.091019,0.371052
entity_messages.W_key,N=24,0.095856,0.225563,0.446252,0.017948,0.089378,0.366365
entity_messages.W_key,N=30,0.096360,0.227504,0.448750,0.017944,0.090706,0.366272
entity_messages.W_key,N=36,0.096593,0.227883,0.449546,0.018540,0.090780,0.363132
entity_messages.W_out,N=3,0.103629,0.248827,0.492895,0.016202,0.091322,0.373308
entity_messages.W_out,N=5,0.102050,0.244465,0.493933,0.015604,0.089762,0.374947
entity_messages.W_out,N=10,0.102763,0.243634,0.495057,0.016154,0.090555,0.379394
entity_messages.W_out,N=16,0.095025,0.235156,0.494733,0.015609,0.094143,0.390193
entity_messages.W_out,N=24,0.091767,0.235074,0.489341,0.016063,0.096792,0.397472
entity_messages.W_out,N=30,0.092635,0.237509,0.493565,0.015094,0.096583,0.397009
entity_messages.W_out,N=36,0.090431,0.235879,0.487293,0.014592,0.094300,0.383772
entity_messages.W_query,N=3,0.113733,0.248037,0.471899,0.065014,0.167303,0.489061
entity_messages.W_query,N=5,0.111674,0.246614,0.469943,0.058132,0.157539,0.480235
entity_messages.W_query,N=10,0.110632,0.243899,0.467159,0.049618,0.144713,0.464305
entity_messages.W_query,N=16,0.110482,0.243812,0.470188,0.041196,0.134052,0.452603
entity_messages.W_query,N=24,0.110606,0.246408,0.471391,0.029405,0.116850,0.430259
entity_messages.W_query,N=30,0.108484,0.243875,0.469139,0.026549,0.110725,0.424328
entity_messages.W_query,N=36,0.104163,0.237014,0.467379,0.022587,0.107025,0.417300
entity_messages.W_val,N=3,0.092484,0.223338,0.478563,0.017834,0.099763,0.381270
entity_messages.W_val,N=5,0.092096,0.222131,0.478942,0.017466,0.098765,0.380271
entity_messages.W_val,N=10,0.089046,0.220803,0.482854,0.016079,0.096115,0.379190
entity_messages.W_val,N=16,0.085624,0.221981,0.490495,0.013913,0.091668,0.372670
entity_messages.W_val,N=24,0.087540,0.229951,0.502899,0.013674,0.093694,0.369411
entity_messages.W_val,N=30,0.083884,0.233326,0.506846,0.013234,0.092334,0.366557
entity_messages.W_val,N=36,0.085172,0.237597,0.509603,0.012951,0.089586,0.365240
update.0.bias,N=3,0.301649,0.417034,0.587274,N/A,N/A,N/A
update.0.bias,N=5,0.294572,0.437462,0.586715,N/A,N/A,N/A
update.0.bias,N=10,0.222552,0.377888,0.546705,N/A,N/A,N/A
update.0.bias,N=16,0.213018,0.377206,0.535867,N/A,N/A,N/A
update.0.bias,N=24,0.154485,0.313262,0.489012,N/A,N/A,N/A
update.0.bias,N=30,0.156761,0.307320,0.538046,N/A,N/A,N/A
update.0.bias,N=36,0.202849,0.352455,0.559375,N/A,N/A,N/A
update,N=3,0.104399,0.250642,0.503011,0.021259,0.127667,0.472298
update,N=5,0.104303,0.250442,0.504231,0.020881,0.127291,0.472464
update,N=10,0.103411,0.249344,0.504685,0.020546,0.125586,0.473297
update,N=16,0.101296,0.245443,0.501923,0.019652,0.123535,0.470915
update,N=24,0.099829,0.244217,0.502959,0.019319,0.117486,0.469803
update,N=30,0.101285,0.245880,0.502487,0.019211,0.118335,0.470004
update,N=36,0.102771,0.251235,0.508710,0.020091,0.121276,0.474047
entity_update.0.bias,N=3,0.140770,0.247434,0.594215,N/A,N/A,N/A
entity_update.0.bias,N=5,0.158106,0.248809,0.594113,N/A,N/A,N/A
entity_update.0.bias,N=10,0.126397,0.199566,0.542509,N/A,N/A,N/A
entity_update.0.bias,N=16,0.095318,0.167551,0.531702,N/A,N/A,N/A
entity_update.0.bias,N=24,0.094327,0.164356,0.541327,N/A,N/A,N/A
entity_update.0.bias,N=30,0.120331,0.203451,0.548940,N/A,N/A,N/A
entity_update.0.bias,N=36,0.138289,0.224736,0.535439,N/A,N/A,N/A
entity_update,N=3,0.120232,0.266992,0.515907,0.025756,0.128620,0.486276
entity_update,N=5,0.116409,0.262842,0.512668,0.025277,0.126385,0.483967
entity_update,N=10,0.108785,0.252689,0.505579,0.022344,0.119670,0.478021
entity_update,N=16,0.105224,0.247107,0.505532,0.020705,0.116352,0.477667
entity_update,N=24,0.102195,0.243255,0.505290,0.020020,0.120455,0.477076
entity_update,N=30,0.105476,0.246433,0.507261,0.021631,0.122716,0.477350
entity_update,N=36,0.101742,0.242319,0.504177,0.020792,0.122111,0.472707
value_head.0.bias,N=3,0.203919,0.318703,0.612032,N/A,N/A,N/A
value_head.0.bias,N=5,0.133094,0.231490,0.536947,N/A,N/A,N/A
value_head.0.bias,N=10,0.077803,0.191288,0.504479,N/A,N/A,N/A
value_head.0.bias,N=16,0.077250,0.196323,0.507761,N/A,N/A,N/A
value_head.0.bias,N=24,0.170507,0.263101,0.534166,N/A,N/A,N/A
value_head.0.bias,N=30,0.276915,0.360248,0.584217,N/A,N/A,N/A
value_head.0.bias,N=36,0.288958,0.357528,0.570576,N/A,N/A,N/A
value_head,N=3,0.150491,0.293438,0.524016,0.029972,0.118883,0.411291
value_head,N=5,0.130466,0.272590,0.515474,0.026066,0.114190,0.407259
value_head,N=10,0.143083,0.285610,0.529263,0.035630,0.119787,0.413485
value_head,N=16,0.127064,0.272382,0.522567,0.028210,0.111464,0.414060
value_head,N=24,0.143905,0.286294,0.528708,0.043655,0.134304,0.436198
value_head,N=30,0.134625,0.265815,0.521382,0.037539,0.122342,0.424608
value_head,N=36,0.129553,0.264476,0.514191,0.029665,0.114195,0.404874
value_head.2.bias,N=3,1.000000,1.000000,1.000000,N/A,N/A,N/A
value_head.2.bias,N=5,1.000000,1.000000,1.000000,N/A,N/A,N/A
value_head.2.bias,N=10,1.000000,1.000000,1.000000,N/A,N/A,N/A
value_head.2.bias,N=16,1.000000,1.000000,1.000000,N/A,N/A,N/A
value_head.2.bias,N=24,1.000000,1.000000,1.000000,N/A,N/A,N/A
value_head.2.bias,N=30,1.000000,1.000000,1.000000,N/A,N/A,N/A
value_head.2.bias,N=36,1.000000,1.000000,1.000000,N/A,N/A,N/A
value_head_out,N=3,0.265452,0.358817,0.568934,N/A,N/A,N/A
value_head_out,N=5,0.258661,0.361933,0.547363,N/A,N/A,N/A
value_head_out,N=10,0.265420,0.358623,0.567526,N/A,N/A,N/A
value_head_out,N=16,0.204583,0.306297,0.510244,N/A,N/A,N/A
value_head_out,N=24,0.180046,0.283213,0.510099,N/A,N/A,N/A
value_head_out,N=30,0.170233,0.261959,0.492567,N/A,N/A,N/A
value_head_out,N=36,0.133559,0.271587,0.451056,N/A,N/A,N/A
policy_head.0.bias,N=3,0.529251,0.575242,0.693209,N/A,N/A,N/A
policy_head.0.bias,N=5,0.521207,0.577674,0.667637,N/A,N/A,N/A
policy_head.0.bias,N=10,0.504522,0.591991,0.695310,N/A,N/A,N/A
policy_head.0.bias,N=16,0.434137,0.533358,0.630538,N/A,N/A,N/A
policy_head.0.bias,N=24,0.527274,0.606266,0.732314,N/A,N/A,N/A
policy_head.0.bias,N=30,0.604361,0.661269,0.778728,N/A,N/A,N/A
policy_head.0.bias,N=36,0.649175,0.700412,0.816181,N/A,N/A,N/A
policy_head,N=3,0.120373,0.268430,0.513215,0.021210,0.100501,0.389658
policy_head,N=5,0.124616,0.273434,0.513809,0.022648,0.103217,0.390038
policy_head,N=10,0.114451,0.263226,0.509217,0.018911,0.100061,0.390311
policy_head,N=16,0.107629,0.258703,0.504077,0.016534,0.100735,0.393834
policy_head,N=24,0.116953,0.265788,0.513349,0.021299,0.112903,0.401490
policy_head,N=30,0.125365,0.274100,0.523682,0.026054,0.120380,0.415852
policy_head,N=36,0.122567,0.267761,0.520773,0.024904,0.118367,0.414036
dist.linear.bias,N=3,0.013607,0.013607,0.013607,N/A,N/A,N/A
dist.linear.bias,N=5,0.008035,0.008035,0.008035,N/A,N/A,N/A
dist.linear.bias,N=10,0.009051,0.009051,0.009051,N/A,N/A,N/A
dist.linear.bias,N=16,0.007389,0.007389,0.007389,N/A,N/A,N/A
dist.linear.bias,N=24,0.012224,0.012224,0.012224,N/A,N/A,N/A
dist.linear.bias,N=30,0.012931,0.012931,0.012931,N/A,N/A,N/A
dist.linear.bias,N=36,0.013646,0.013646,0.013646,N/A,N/A,N/A
dist.linear.weight,N=3,0.108550,0.263562,0.509596,0.105086,0.258160,0.503306
dist.linear.weight,N=5,0.106503,0.264118,0.513914,0.102881,0.259049,0.508718
dist.linear.weight,N=10,0.110571,0.268580,0.511467,0.106919,0.265793,0.506292
dist.linear.weight,N=16,0.114390,0.267885,0.504174,0.108168,0.267364,0.503138
dist.linear.weight,N=24,0.091827,0.277308,0.494040,0.097651,0.281753,0.501339
dist.linear.weight,N=30,0.091019,0.274913,0.506238,0.099262,0.274919,0.514367
dist.linear.weight,N=36,0.103057,0.275180,0.520117,0.108979,0.274775,0.526370
